,fiscal_year,emissions,ticker,EBITDA,EBT,total_revenues,industry,company_name,out_shares,average_price,last_price
110,2019,57240.0081063089,ITUB4,,39862.0,98512.0,Banks,Itaú Unibanco Holding S.A.,9744708787.0,35.37295554620534,37.099998474121094
111,2013,76079.1598500117,BBAS3,,25530.226,61742.838,Banks,Banco do Brasil S.A.,3760087960.0,25.029677421815933,24.399999618530273
112,2014,105593.00899995891,BBAS3,,17212.618,48453.411,Banks,Banco do Brasil S.A.,3735569468.0,25.49544357484387,23.770000457763672
113,2015,101904.8902999732,BBAS3,,15126.059,50294.54,Banks,Banco do Brasil S.A.,3730946892.0,20.9305284895548,14.739999771118164
114,2016,115314.227204921,BBAS3,,17167.17,55873.394,Banks,Banco do Brasil S.A.,3723144591.0,20.640441810270868,28.09000015258789
115,2017,67345.9775999868,BBAS3,,20542.064,58105.764,Banks,Banco do Brasil S.A.,3723347612.0,31.583700675663987,31.81999969482422
116,2018,66069.2929499641,BBAS3,,24090.143,60334.372,Banks,Banco do Brasil S.A.,3723924792.0,35.99848977692273,46.4900016784668
117,2019,67231.0682625133,BBAS3,,24727.684,61745.862,Banks,Banco do Brasil S.A.,3725659505.0,49.23145754424184,52.81999969482422
118,2013,6136.722567102585,CESP6,1244.757,162.25,3904.102,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,21.116249968928674,22.420000076293945
119,2014,6271.801495304153,CESP6,4009.251,3248.853,4699.251,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,26.333346766810262,27.020000457763672
120,2015,4041.930043604965,CESP6,909.881,90.808,2950.982,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,19.47434961892725,13.399999618530273
121,2016,4456.801800004767,CESP6,944.978,855.974,1668.59,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,13.787630521628751,13.489999771118164
122,2017,1513.480000049097,CESP6,197.276,-67.004,1476.615,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,15.555866113797887,13.199999809265137
123,2018,1466.7526530337318,CESP6,975.498,284.286,1634.11,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,16.730491763255635,21.799999237060547
124,2019,1184.003205469942,CESP6,515.92,55.217,1571.296,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,26.770202435945208,31.940000534057617
125,2020,1076.263,CESP6,884.757,349.741,1917.248,Independent Power and Renewable Electricity Producers,CESP - Companhia Energética de São Paulo,327502673.0,29.166680200862498,28.969999313354492
126,2017,942590.0009874007,SUZB3,4547.273,2123.224,10580.673,Paper and Forest Products,Suzano S.A.,1099039951.0,18.914324270712363,18.690000534057617
127,2018,1043546.0839000542,SUZB3,6654.044,255.884,13443.376,Paper and Forest Products,Suzano S.A.,1093784141.0,37.745346949051836,38.08000183105469
128,2019,2213636.526449934,SUZB3,12329.286,-2263.277,26012.95,Paper and Forest Products,Suzano S.A.,1349221580.0,37.626680181094024,39.68000030517578
129,2013,15466122.337400042,VALE3,47179.0,20534.0,101490.0,Metals and Mining,Vale S.A.,5153374926.0,34.81887100588891,35.709999084472656
130,2014,15907068.18382732,VALE3,29584.0,7179.0,82619.0,Metals and Mining,Vale S.A.,5153375208.0,29.112499990770893,21.90999984741211
131,2015,16280680.634199899,VALE3,20001.0,-30028.0,78057.0,Metals and Mining,Vale S.A.,5153374926.0,18.60243907788905,13.029999732971191
132,2016,14801781.37329999,VALE3,39383.0,30336.0,94633.0,Metals and Mining,Vale S.A.,5153374926.0,17.641526076688343,25.68000030517578
133,2017,15163594.548077779,VALE3,47791.0,26634.0,108532.0,Metals and Mining,Vale S.A.,5110399800.0,31.29700777849813,40.2599983215332
134,2018,14293513.3443,VALE3,58786.0,28855.0,134483.0,Metals and Mining,Vale S.A.,5160594363.0,49.95289792430644,51.0
135,2019,12599340.21674998,VALE3,68383.0,37178.0,148640.0,Metals and Mining,Vale S.A.,5128282457.0,49.19769229966137,53.29999923706055
136,2016,98011.0154774601,ALPA4,575.987,409.817,4054.404,"Textiles, Apparel and Luxury Goods",Alpargatas S.A.,578816717.0,7.547726924160877,8.008000373840332
137,2017,102092.53890743891,ALPA4,448.969,286.862,3721.863,"Textiles, Apparel and Luxury Goods",Alpargatas S.A.,578816717.0,11.057007898495891,13.960000038146973
138,2018,92166.0183282206,ALPA4,508.997,404.385,3380.217,"Textiles, Apparel and Luxury Goods",Alpargatas S.A.,578816717.0,11.628179612451671,13.616000175476074
139,2019,80190.3910297903,ALPA4,528.461,448.925,3279.751,"Textiles, Apparel and Luxury Goods",Alpargatas S.A.,578816719.0,21.19029152055501,33.20000076293945
140,2020,55136.347,ALPA4,501.668,348.144,3364.278,"Textiles, Apparel and Luxury Goods",Alpargatas S.A.,578911428.0,33.11704454923931,42.0
141,2018,61749186.66447658,BRDT3,1857.0,3859.0,97770.0,Specialty Retail,Petrobras Distribuidora S.A.,1165000000.0,21.05746181120122,25.700000762939453
142,2019,58499612.013179675,BRDT3,2153.0,3720.0,94985.0,Specialty Retail,Petrobras Distribuidora S.A.,1165000000.0,26.04777329942958,30.06999969482422
143,2013,12138246.5374001,ELET6,-3278.98,-4568.122,23835.644,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,10.394354812560543,9.930000305175781
144,2014,11991089.45209995,ELET6,7344.375,4506.859,30137.807,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,9.920887076085613,8.140000343322754
145,2015,10253169.45830006,ELET6,1195.632,-1619.737,32180.843,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,8.573902436388217,10.4399995803833
146,2016,9063291.849800061,ELET6,-1859.744,23952.394,31715.45,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,18.371726913145746,25.889999389648438
147,2017,7688643.98240006,ELET6,6348.871,8845.65,24518.505,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,21.634133868330107,22.700000762939453
148,2018,6020627.638100049,ELET6,19579.8,17750.228,25772.305,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,22.03436737060547,28.170000076293945
149,2019,5886781.402000001,ELET6,10503.004,7270.543,29714.264,Electric Utilities,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,38.17052624968865,38.2400016784668
150,2013,574895.9142250291,ITSA4,944.0,6067.0,5289.0,Banks,Itaúsa - Investimentos Itaú SA,8009603935.0,6.032060394364018,6.001063823699951
151,2014,711649.554499964,ITSA4,646.0,7852.0,5021.0,Banks,Itaúsa - Investimentos Itaú SA,8123690999.0,6.738196480658747,6.992318153381348
152,2015,601242.965039994,ITSA4,600.0,8943.0,4885.0,Banks,Itaúsa - Investimentos Itaú SA,8173867377.0,6.85454336996001,5.64857292175293
153,2016,482496.584300022,ITSA4,377.0,8127.0,4687.0,Banks,Itaúsa - Investimentos Itaú SA,8143617486.0,7.001049809666522,7.477791786193848
154,2017,490029.682500066,ITSA4,635.0,8309.0,4969.0,Banks,Itaúsa - Investimentos Itaú SA,8220992859.0,9.006563154731209,9.836362838745117
155,2018,363230.911399992,ITSA4,1514.0,9819.0,5375.0,Banks,Itaúsa - Investimentos Itaú SA,8410697988.0,10.989673299205547,12.079999923706055
156,2019,316368.661090119,ITSA4,956.0,10167.0,5008.0,Banks,Itaúsa - Investimentos Itaú SA,8410814930.0,12.755060728744938,14.09000015258789
157,2013,199268.03742503698,OIBR4,7765.129,688.169,28422.147,Diversified Telecommunication Services,Oi S.A.,164002793.0,50.30524183088733,35.900001525878906
158,2014,276240.287399986,OIBR4,6889.639,-1626.927,28247.099,Diversified Telecommunication Services,Oi S.A.,842766134.0,22.109153266875975,8.609999656677246
159,2015,250145.7770749841,OIBR4,6875.938,-4478.36,27353.765,Diversified Telecommunication Services,Oi S.A.,667779998.0,4.558821137358502,1.9500000476837158
160,2016,207700.348787495,OIBR4,3500.697,-4567.941,25996.423,Diversified Telecommunication Services,Oi S.A.,675667143.0,1.8722891556211265,2.25
161,2017,239823.7026749532,OIBR4,2224.283,-10163.532,23789.654,Diversified Telecommunication Services,Oi S.A.,675663819.0,3.5320078782209263,3.4700000286102295
162,2018,193295.3802124662,OIBR4,113.089,-3297.154,22060.014,Diversified Telecommunication Services,Oi S.A.,2418816765.0,2.8417551030918045,1.2599999904632568
163,2019,214227.3786124118,OIBR4,-1389.005,-9789.271,10492.096,Diversified Telecommunication Services,Oi S.A.,5952362165.0,1.515101213686862,1.2300000190734863
164,2013,45023.49779564169,BBDC4,,14189.468,47905.107,Banks,Banco Bradesco S.A.,9732816065.0,14.774708720945544,13.797820091247559
165,2014,76423.1297999619,BBDC4,,20333.151,57373.804,Banks,Banco Bradesco S.A.,9729674565.0,15.854854826004274,16.629480361938477
166,2015,63460.92180005311,BBDC4,,12467.538,51508.873,Banks,Banco Bradesco S.A.,9721022898.0,15.159928934360908,10.973749160766602
167,2016,51058.91579993634,BBDC4,,36192.915,80554.61,Banks,Banco Bradesco S.A.,9719079567.0,16.165945091400758,18.156774520874023
168,2017,55855.79432502276,BBDC4,,25908.752,73919.842,Banks,Banco Bradesco S.A.,9719079569.0,21.421493072209397,23.312671661376953
169,2018,51168.703475015995,BBDC4,,21664.871,71911.018,Banks,Banco Bradesco S.A.,9719079570.0,24.65784751736388,29.280302047729492
170,2019,48975.7224687154,BBDC4,,19852.718,84931.869,Banks,Banco Bradesco S.A.,9719079572.0,32.114506779412025,32.88181686401367
171,2016,69112.65331341661,MYPK3,736.261,40.175,6816.454,Machinery,Iochpe-Maxion S.A.,94477329.0,14.159031860320923,11.457724571228027
172,2017,87209.2230449261,MYPK3,848.287,195.318,7487.94,Machinery,Iochpe-Maxion S.A.,139641739.0,17.934987109477127,23.0
173,2018,620789.7086499629,MYPK3,1055.638,482.299,9616.299,Machinery,Iochpe-Maxion S.A.,149350668.0,23.05364749470695,23.809999465942383
174,2019,641389.725,MYPK3,998.877,396.442,10016.395,Machinery,Iochpe-Maxion S.A.,152364512.0,20.534331989674435,23.3799991607666
175,2013,31102.4847130574,POMO4,410.13,390.249,3659.309,Machinery,Marcopolo S.A.,894935010.0,6.366660810285999,5.060503959655762
176,2014,28026.2225595818,POMO4,268.783,276.363,3400.194,Machinery,Marcopolo S.A.,889804469.0,4.253095787379049,3.2942891120910645
